u,v,grad_attr_score
0,3,0.99063903
1,4,4.0951753
2,5,0.035884425
2,5,0.02947617
2,5,0.02901996
2,5,0.021058904
2,5,0.033565346
2,5,0.02969602
2,5,0.027373848
2,5,0.034304183
2,5,0.03172633
2,5,0.035436545
2,5,0.03195217
2,5,0.4178096
2,5,0.024512405
2,5,0.03389196
2,5,0.023949588
2,5,0.023116764
2,5,0.032218013
2,5,0.023973709
2,5,0.02616965
2,5,0.024000254
2,5,0.026781134
2,5,0.027941626
2,5,0.030433958
2,5,0.033777043
2,5,0.029257927
2,5,0.038330767
2,5,0.03229513
2,5,1.0703638
2,5,0.02426339
2,5,0.021228641
2,5,0.025796317
2,5,0.03207186
2,5,0.031877026
2,5,0.041232273
2,5,0.036891952
2,5,0.031012561
2,5,0.033009212
2,5,0.21624844
2,5,0.030769462
2,5,0.027245346
2,5,0.042647026
2,5,0.020587716
2,5,0.02786641
2,5,0.029862585
2,5,0.026178902
2,5,0.023355007
2,5,0.03208339
2,5,0.030520255
2,5,0.039421666
2,5,0.429868
2,5,0.017957771
