hidden_dim,gat_heads,lstm_hidden,dropout,lr,weight_decay,val_accuracy,val_f1,val_recall,val_FAR,time_s
64,1,32,0.2,0.001,1e-05,0.242702918832467,0.33868715083798884,1.0,0.9394841269841265,12.542531490325928
64,1,32,0.2,0.0005,1e-05,0.8180727708916433,0.6733668341708543,0.9670103092783505,0.2177579365079364,12.34660530090332
64,1,32,0.4,0.001,1e-05,0.875249900039984,0.7483870967741936,0.9567010309278351,0.14434523809523803,12.219246864318848
64,1,32,0.4,0.0005,1e-05,0.7001199520191923,0.5546318289786223,0.9628865979381444,0.3630952380952379,12.063317060470581
64,1,64,0.2,0.001,1e-05,0.8504598160735706,0.7127496159754224,0.9567010309278351,0.17509920634920628,12.157232284545898
64,1,64,0.2,0.0005,1e-05,0.7668932427029188,0.614162806088683,0.9567010309278351,0.27876984126984117,12.030391454696655
64,1,64,0.4,0.001,1e-05,0.7393042782886845,0.5914786967418546,0.9731958762886598,0.3169642857142856,12.019457578659058
64,1,64,0.4,0.0005,1e-05,0.7137145141943223,0.5671100362756953,0.9670103092783505,0.34722222222222204,12.014484882354736
64,2,32,0.2,0.001,1e-05,0.5193922431027589,0.44659300184162065,1.0,0.5962301587301585,12.01677417755127
64,2,32,0.2,0.0005,1e-05,0.7361055577768892,0.585427135678392,0.9608247422680413,0.3179563492063491,12.071989297866821
64,2,32,0.4,0.001,1e-05,0.7948820471811275,0.6439972241498959,0.9567010309278351,0.24404761904761893,11.959858655929565
64,2,32,0.4,0.0005,1e-05,0.7117153138744502,0.5685218432076601,0.979381443298969,0.3526785714285713,11.994552850723267
64,2,64,0.2,0.001,1e-05,0.8028788484606157,0.6491103202846975,0.9402061855670103,0.23015873015873006,11.93523907661438
64,2,64,0.2,0.0005,1e-05,0.7189124350259896,0.572644376899696,0.9711340206185567,0.34176587301587286,11.96544075012207
64,2,64,0.4,0.001,1e-05,0.7964814074370252,0.6457898399443285,0.9567010309278351,0.24206349206349195,12.048549890518188
64,2,64,0.4,0.0005,1e-05,0.7516993202718912,0.60471037555697,0.979381443298969,0.3030753968253967,11.97890591621399
128,1,32,0.2,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.002452850341797
128,1,32,0.2,0.0005,1e-05,0.33346661335465816,0.3678422449753508,1.0,0.8268849206349203,11.963296890258789
128,1,32,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.00732159614563
128,1,32,0.4,0.0005,1e-05,0.7313074770091963,0.5815691158156912,0.9628865979381444,0.32440476190476175,12.063250303268433
128,1,64,0.2,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,11.969204664230347
128,1,64,0.2,0.0005,1e-05,0.7453018792483007,0.5945257797581158,0.9628865979381444,0.30704365079365065,11.999454021453857
128,1,64,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.198147296905518
128,1,64,0.4,0.0005,1e-05,0.46301479408236706,0.418866291648637,0.9979381443298969,0.6656746031746029,12.024379253387451
128,2,32,0.2,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.222655534744263
128,2,32,0.2,0.0005,1e-05,0.5289884046381448,0.4515828677839851,1.0,0.5843253968253965,12.070804119110107
128,2,32,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.051218271255493
128,2,32,0.4,0.0005,1e-05,0.7968812475009996,0.6329479768786127,0.9030927835051547,0.22867063492063483,12.083999156951904
128,2,64,0.2,0.001,1e-05,0.7856857257097161,0.6338797814207651,0.9567010309278351,0.2554563492063491,12.10120439529419
128,2,64,0.2,0.0005,1e-05,0.7425029988004798,0.5903307888040712,0.9567010309278351,0.3090277777777776,12.180493116378784
128,2,64,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.02864384651184
128,2,64,0.4,0.0005,1e-05,0.7337065173930428,0.5842696629213483,0.9649484536082474,0.32192460317460303,12.027965545654297
